variant,terrain,path,bumpiness,seed,status,mean_u_window,max_cte_window,x_max_m,window_rows,sim_port,attempts
grit,clay,right_left,4,403,ok,6.303452434456929,0.221126,76.111877,267,33500,1
grit,clay,right_left,4,404,ok,6.119158303886926,0.136245,75.424057,283,33750,1
grit,clay,right_left,8,400,ok,5.590397241379311,0.646378,75.776137,290,34000,1
grit,clay,right_left,8,401,ok,5.730321180555555,0.798689,76.549605,288,34250,1
grit,clay,right_left,8,402,ok,5.782960283687943,0.263006,77.244726,282,32500,1
grit,clay,right_left,8,403,ok,5.715646644295302,0.630735,76.524973,298,32750,1
grit,clay,right_left,8,404,ok,5.794444322344322,0.442627,77.216114,273,33000,1
grit,clay,sinusoidal,0,400,ok,5.039038533834587,0.847339,156.20329,532,34000,1
grit,clay,sinusoidal,0,401,ok,5.0607022988505745,0.716698,155.874647,522,34250,1
grit,clay,sinusoidal,0,402,ok,5.0091158203125,0.652142,155.857449,512,32500,1
